Essay,flesch,smog,coleman,ari,dcrs,dw,lwf,gf,ts,N mistakes,neg,neu,pos,compound,EX,VBZ,DT,NN,IN,CC,VBN,NNS,JJ,VBP,RBR,PRP,RB,VB,PRP$,WP,MD,NNP,JJR,VBG,TO,WDT,JJS,WRB,VBD,Score_band,RBS,CD,PDT,RP,NNPS,WP$,UH,POS
11,37.03,16.2,12.89,16.1,8.47,81,13.8,16.26,16.0,3,0.055,0.827,0.118,0.9767,3.0,12,49,75,51,14,9.0,24,32,10,1.0,3,13,18,5.0,2.0,8,1.0,5.0,7,10,3.0,1.0,3.0,1.0,8,,,,,,,,
1,51.18,13.3,13.29,14.0,8.05,65,13.6,12.53,14.0,3,0.058,0.846,0.097,0.8954,,10,22,40,37,9,12.0,34,26,8,1.0,3,25,26,4.0,,14,,1.0,6,14,2.0,,4.0,1.0,9,1.0,,,,,,,
27,67.89,11.5,9.86,11.2,6.8,36,8.0,10.67,9.0,8,0.019,0.825,0.156,0.9898,1.0,14,22,47,32,6,1.0,19,21,4,1.0,14,16,19,8.0,,9,3.0,4.0,6,13,,,3.0,1.0,5,,1.0,1.0,,,,,
26,63.12,13.0,8.71,12.2,7.11,46,15.25,12.8,13.0,4,0.255,0.63,0.115,-0.9962,2.0,7,48,58,32,13,9.0,9,26,10,,17,13,32,2.0,,9,,4.0,1,24,3.0,,,3.0,5,1.0,,,1.0,,,,
30,74.19,10.1,11.3,9.8,6.68,52,4.181818181818182,9.04,7.0,16,0.017,0.812,0.171,0.994,,20,19,54,34,9,5.0,28,53,14,,15,31,22,5.0,1.0,10,1.0,3.0,14,13,1.0,1.0,1.0,1.0,5,,,,,,,,
10,39.77,13.7,13.52,15.2,8.33,72,13.8,13.79,14.0,2,0.021,0.802,0.176,0.9935,1.0,8,29,37,45,18,5.0,30,33,10,2.0,9,19,22,4.0,,6,,3.0,18,14,3.0,1.0,2.0,,9,,1.0,,,,,,
21,63.49,13.1,13.28,12.3,7.87,60,12.333333333333334,11.55,8.0,21,0.042,0.882,0.075,0.6597,2.0,9,37,43,42,4,8.0,31,36,15,,6,9,12,1.0,,5,1.0,5.0,3,8,,,1.0,2.0,6,,,,,,,,
17,57.4,13.9,11.89,13.9,7.23,42,7.25,13.09,14.0,2,0.047,0.81,0.143,0.978,,13,20,53,31,8,3.0,23,24,4,,7,18,21,3.0,,4,5.0,2.0,8,16,3.0,2.0,,2.0,7,2.0,4.0,,,,,,
7,58.42,13.3,12.65,14.0,7.95,57,11.333333333333334,12.68,13.0,4,0.055,0.803,0.142,0.97,2.0,10,25,35,29,10,19.0,39,35,14,1.0,5,12,10,1.0,1.0,5,2.0,1.0,4,5,4.0,1.0,,3.0,9,2.0,7.0,,,,,,
6,55.37,12.5,12.19,14.8,7.49,53,12.0,12.47,12.0,0,0.042,0.848,0.11,0.9694,3.0,4,22,45,37,14,5.0,38,30,6,2.0,7,23,29,5.0,1.0,15,,3.0,6,12,1.0,,,4.0,9,,3.0,,,,,,
16,57.4,13.0,13.18,14.6,7.8,56,10.5,12.34,11.0,4,0.097,0.778,0.126,0.8586,,2,32,33,38,14,5.0,44,39,12,,5,18,11,2.0,,7,,2.0,4,4,1.0,,2.0,7.0,7,,6.0,,,1.0,,,
20,69.41,11.2,11.89,12.3,7.59,75,6.625,10.24,8.0,4,0.166,0.707,0.126,-0.9732,2.0,11,26,55,56,13,8.0,55,35,20,,11,25,26,,2.0,11,,3.0,8,16,1.0,2.0,2.0,,7,,6.0,,,,1.0,,
23,84.2,8.6,6.96,9.1,5.95,22,6.857142857142857,9.65,7.0,7,0.03,0.823,0.147,0.9818,,5,24,47,36,10,2.0,16,17,20,,18,7,22,10.0,5.0,5,,1.0,7,16,,2.0,,,6,,1.0,,1.0,,,,
19,75.84,10.9,10.44,11.9,7.46,44,9.0,11.34,11.0,6,0.158,0.683,0.159,-0.4034,1.0,5,18,32,37,4,2.0,25,25,8,,18,13,23,10.0,,15,2.0,3.0,4,6,3.0,1.0,1.0,1.0,7,,,,1.0,,,,
5,50.87,12.5,11.84,12.9,8.09,62,7.571428571428571,12.2,13.0,1,0.104,0.826,0.07,-0.9097,,8,28,51,32,11,8.0,30,27,8,,3,24,21,2.0,,12,1.0,3.0,3,10,,1.0,,,9,1.0,1.0,,1.0,,,,
15,52.19,13.9,11.72,12.2,7.63,55,13.0,12.23,12.0,1,0.082,0.838,0.079,-0.2075,,8,35,57,35,13,1.0,21,35,7,3.0,7,10,14,2.0,2.0,7,1.0,1.0,10,12,,,2.0,,8,,4.0,,,,,,
14,47.62,13.1,13.29,15.3,8.68,75,12.4,13.47,13.0,1,0.044,0.788,0.168,0.9881,,5,36,53,51,9,7.0,38,24,14,,7,11,14,7.0,1.0,5,1.0,1.0,13,9,1.0,1.0,,1.0,8,,,,,,,,
4,39.87,14.1,12.6,14.5,8.09,72,11.833333333333334,13.45,13.0,2,0.029,0.85,0.122,0.9804,,16,27,56,53,12,11.0,31,37,11,5.0,15,18,20,1.0,1.0,7,1.0,1.0,8,10,,,1.0,2.0,9,,1.0,,1.0,,,,
18,60.85,12.5,12.36,12.7,8.17,60,10.666666666666666,11.32,13.0,0,0.119,0.737,0.144,-0.3182,,10,25,44,29,8,15.0,31,26,13,1.0,4,22,14,1.0,,4,,,4,8,1.0,,4.0,1.0,7,,,,,,,,
8,52.39,13.5,11.2,11.7,7.61,58,11.5,11.37,12.0,1,0.043,0.876,0.081,0.896,,16,37,52,50,8,16.0,22,24,5,1.0,8,18,14,1.0,,11,,,5,5,1.0,2.0,2.0,1.0,9,,1.0,1.0,,,,,
22,59.13,12.8,9.81,11.2,7.31,45,10.833333333333334,11.8,10.0,8,0.068,0.855,0.077,0.3597,1.0,13,42,55,40,10,3.0,17,26,8,1.0,12,9,9,1.0,2.0,4,1.0,3.0,2,9,,1.0,,1.0,6,,2.0,,,,,,
29,46.0,13.9,14.1,16.8,8.47,40,15.25,13.68,14.0,5,0.024,0.753,0.223,0.9876,,4,6,25,25,5,,26,21,6,1.0,5,15,12,8.0,,6,,1.0,3,4,3.0,1.0,,,5,,,,,,,1.0,
3,39.16,14.4,14.1,16.1,8.05,53,14.0,14.05,14.0,3,0.082,0.78,0.137,0.8959,,7,29,43,32,11,2.0,32,23,10,2.0,2,12,12,3.0,,7,1.0,5.0,13,11,2.0,1.0,,,9,,,,,,,,
13,35.41,15.2,14.63,18.3,8.78,98,13.2,15.78,15.0,7,0.133,0.729,0.138,-0.5191,,6,43,76,61,17,8.0,51,42,15,,5,10,19,5.0,,6,3.0,5.0,14,13,6.0,5.0,1.0,3.0,8,,1.0,,,,,,
25,61.46,12.5,11.26,11.5,7.96,63,11.0,11.68,12.0,3,0.021,0.829,0.15,0.9898,1.0,10,34,38,39,8,6.0,39,27,9,,11,23,16,4.0,1.0,7,,,3,13,,2.0,,2.0,6,,,,1.0,,,,1.0
24,63.32,11.7,9.58,12.7,7.71,49,12.2,12.53,13.0,5,0.075,0.855,0.07,-0.099,,10,34,47,36,9,4.0,20,36,7,1.0,8,6,23,3.0,1.0,6,1.0,1.0,6,13,1.0,,3.0,,6,,2.0,1.0,,,,,
12,45.8,15.1,14.39,17.2,8.53,70,16.0,14.73,15.0,0,0.166,0.669,0.165,0.3965,,10,35,53,25,14,5.0,40,36,15,1.0,1,12,12,6.0,,3,1.0,,9,11,5.0,5.0,5.0,2.0,8,,2.0,,,,,,
2,55.07,14.2,12.07,14.7,7.71,62,15.25,13.65,15.0,3,0.08,0.755,0.165,0.9772,1.0,6,38,67,48,15,8.0,25,25,11,1.0,10,11,31,1.0,,12,2.0,,9,18,3.0,,,,9,1.0,3.0,,1.0,,,,
28,66.27,12.7,11.08,12.9,6.9,36,13.0,11.02,13.0,2,0.017,0.764,0.218,0.9947,1.0,9,23,48,33,9,1.0,25,28,11,,12,9,11,10.0,1.0,4,,4.0,7,7,2.0,2.0,3.0,,5,1.0,1.0,,,,,,1.0
